Year; Month; DayMonth; DayWeek; Hour; Minute; Second; Effekt
2017;9;15;5;4;51;22;3631
2017;9;15;5;4;51;24;626
2017;9;15;5;4;51;26;624
2017;9;15;5;4;51;28;626
2017;9;15;5;4;51;32;625
2017;9;15;5;4;51;34;625
2017;9;15;5;4;51;36;624
2017;9;15;5;4;51;38;622
2017;9;15;5;4;51;42;623
2017;9;15;5;4;51;44;636
2017;9;15;5;4;51;46;625
2017;9;15;5;4;51;48;624
2017;9;15;5;4;51;52;626
2017;9;15;5;4;51;54;628
2017;9;15;5;4;51;56;623
2017;9;15;5;4;51;58;624
2017;9;15;5;4;52;2;624
2017;9;15;5;4;52;4;627
2017;9;15;5;4;52;6;625
2017;9;15;5;4;52;8;624
2017;9;15;5;4;52;12;624
2017;9;15;5;4;52;14;622
2017;9;15;5;4;52;16;625
2017;9;15;5;4;52;18;624
2017;9;15;5;4;52;22;627
2017;9;15;5;4;52;24;626
2017;9;15;5;4;52;26;626
2017;9;15;5;4;52;28;627
2017;9;15;5;4;52;32;624
2017;9;15;5;4;52;34;627
2017;9;15;5;4;52;36;627
2017;9;15;5;4;52;38;624
2017;9;15;5;4;52;42;624
2017;9;15;5;4;52;44;625
2017;9;15;5;4;52;46;634
2017;9;15;5;4;52;48;639
2017;9;15;5;4;52;52;638
2017;9;15;5;4;52;54;641
2017;9;15;5;4;52;56;631
2017;9;15;5;4;52;58;640
2017;9;15;5;4;53;2;632
2017;9;15;5;4;53;4;638
2017;9;15;5;4;53;6;630
2017;9;15;5;4;53;8;629
2017;9;15;5;4;53;12;632
2017;9;15;5;4;53;14;629
2017;9;15;5;4;53;16;631
2017;9;15;5;4;53;18;628
2017;9;15;5;4;53;22;632
2017;9;15;5;4;53;24;630
2017;9;15;5;4;53;26;627
2017;9;15;5;4;53;28;630
2017;9;15;5;4;53;32;631
2017;9;15;5;4;53;34;632
2017;9;15;5;4;53;36;636
2017;9;15;5;4;53;38;630
2017;9;15;5;4;53;42;634
2017;9;15;5;4;53;44;630
2017;9;15;5;4;53;46;631
2017;9;15;5;4;53;48;632
2017;9;15;5;4;53;52;634
2017;9;15;5;4;53;54;635
2017;9;15;5;4;53;56;633
2017;9;15;5;4;53;58;629
2017;9;15;5;4;54;2;631
2017;9;15;5;4;54;4;639
2017;9;15;5;4;54;6;633
2017;9;15;5;4;54;8;630
2017;9;15;5;4;54;12;629
2017;9;15;5;4;54;14;628
2017;9;15;5;4;54;16;632
2017;9;15;5;4;54;18;629
2017;9;15;5;4;54;22;629
2017;9;15;5;4;54;24;628
2017;9;15;5;4;54;26;630
2017;9;15;5;4;54;28;631
2017;9;15;5;4;54;32;629
2017;9;15;5;4;54;34;628
2017;9;15;5;4;54;36;627
2017;9;15;5;4;54;38;640
2017;9;15;5;4;54;42;631
